https://www.dafiti.com.ar/Traje-De-Bano-Azul-Dinamarca-268801.html | $7469 | ↓40% from min | ↓40%

https://www.dafiti.com.ar/Traje-de-Bano-Azul-DC-Shoes-Lanai-18-244148.html | $3439 | ↓40% from min | ↓40%

https://www.dafiti.com.ar/Zapatilla-Negra-Salomon--X-Radiant-W-385878.html | $16399 | ↓40% from min | ↓40%

https://www.dafiti.com.ar/Pantalon-Negro-Volcom-Button-Hi-Rise-356270.html | $6919 | ↓40% from min | ↓40%

https://www.dafiti.com.ar/Mocasin-Azul-Stork-Man-Norberto-Cuero-423601.html | $7649 | ↓39% from min | ↓44%

https://www.dafiti.com.ar/Zapatilla-Gris-Reef-Banyan-325253.html | $7159 | ↓39% from min | ↓39%

https://www.dafiti.com.ar/Zapatilla-Bordo-Reef-Byron-Bay-389115.html | $7159 | ↓39% from min | ↓39%

https://www.dafiti.com.ar/Zapatilla-Negra-LA-Gear-Yosemite-946208.html | $4729 | ↓39% from min | ↓41%

https://www.dafiti.com.ar/Zapatilla-Negra-Stork-Man-Kindo-926535.html | $4499 | ↓38% from min | ↓70%

https://www.dafiti.com.ar/Zapatilla-Negra-Kevingston-KING-920070.html | $4799 | ↓38% from min | ↓56%

https://www.dafiti.com.ar/Zapatilla-Azul-Diadora-Fusion-576961.html | $7109 | ↓38% from min | ↓38%

https://www.dafiti.com.ar/Zapatilla-Blanca-Le-Coq-Sportif-Drive-Lady-172441.html | $10149 | ↓37% from min | ↓37%

https://www.dafiti.com.ar/Zapatilla-Azul-Reef-DRILL-489262.html | $7619 | ↓36% from min | ↓36%

https://www.dafiti.com.ar/Zapatilla-Gris-Diadora-Rieti-900384.html | $4799 | ↓36% from min | ↓39%

https://www.dafiti.com.ar/Zapatilla-Gris-Jaguar-372294.html | $4119 | ↓34% from min | ↓34%

https://www.dafiti.com.ar/Zapatilla-Negra-Stork-Man-484914.html | $4799 | ↓30% from min | ↓30%

https://www.dafiti.com.ar/Zapatilla-Gris-Stork-Man-Yue-462723.html | $4799 | ↓30% from min | ↓30%

https://www.dafiti.com.ar/Boxer-Gris-Dufour-906175.html | $529 | ↓28% from min | ↓28%

https://www.dafiti.com.ar/Zapatilla-Azul-Kevingston-COOPER-920068.html | $8099 | ↓27% from min | ↓31%

https://www.dafiti.com.ar/Zapatilla--Gris-Jaguar-427984.html | $10659 | ↓27% from min | ↓27%

https://www.dafiti.com.ar/Zapatilla-Blanca-Kevingston-COOPER-920065.html | $6749 | ↓25% from min | ↓34%
